시도별(1),아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계
계,"47,931","137,919","94,553","3,030","3,434","4,632","102,112","87,655","140,047"
중앙,"6,282","12,980","10,420",289,567,586,"8,199","7,308","96,089"
서울특별시,"7,068","17,405","13,098",381,138,877,"16,368","41,260","14,297"
부산광역시,"2,808","7,058","4,616",109,131,49,"10,256","2,800","5,120"
대구광역시,"2,071","10,054","4,123",239,57,151,"10,313","2,431",983
인천광역시,"2,084","6,625","3,626",172,54,148,"4,411","2,550","2,634"
광주광역시,"3,341","4,092","3,658",179,240,42,"2,225","3,660","2,536"
대전광역시,"2,206","3,364","2,837",232,236,40,"4,551","1,442","2,149"
울산광역시,806,"6,697","5,314",208,82,22,"2,290","4,519","2,329"
세종특별자치시,112,246,178,0,32,2,114,463,61
경기도,"5,551","21,621","12,335",35,470,602,"16,160","6,647","4,787"
강원특별자치도,"1,129","5,473","2,330",121,26,357,"3,563","1,518","1,098"
충청북도,"1,526","4,024","2,043",20,114,66,"1,620",817,905
충청남도,"2,909","5,090","4,043",95,430,10,"2,287","2,541","2,149"
전북특별자치도,"1,106","4,194","2,055",60,165,122,"1,689","1,414",594
전라남도,"2,794","7,717","5,464",447,184,275,"2,216","1,401",695
경상북도,"2,189","7,938","7,445",127,166,503,"7,191","1,150",914
경상남도,"3,315","10,597","7,338",189,113,662,"7,151","3,270","1,959"
제주특별자치도,634,"2,744","3,630",127,229,118,"1,508","2,464",748
